case_id,case_type,priority,meter_id_hash,service_point_id_hash,locality,zone,feeder_id_hash,dt_id_hash,consumer_category,premise_subtype,alert_fingerprint,confidence_pct,risk_tier,recommended_team,recommended_action,estimated_revenue_impact_inr,risk_score,independent_signal_count,one_line_reason
ALT-V4-0001,ANOMALY_THEFT,P1,MTR_000027_HASH,SP_000027_HASH,Domlur,East Circle,FDR_002_HASH,DT_0017_HASH,COMMERCIAL,BAKERY,Peer Drift + Billing Cycle Drop + After-Hours Commercial + Low Power Factor,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,2088.24,91.33045373656188,4,"BAKERY Domlur COMMERCIAL meter, dropped 62% consumption, 60-pt peer rank drop"
ALT-V4-0002,ANOMALY_THEFT,P1,MTR_000063_HASH,SP_000063_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0012_HASH,COMMERCIAL,RESTAURANT_CAFE,Peer Drift + Billing Cycle Drop + Low Power Factor + Tamper Event,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,4659.2,95.1318034480205,4,"RESTAURANT_CAFE KR Puram COMMERCIAL meter, dropped 71% consumption, 57-pt peer rank drop, 2 tamper events"
ALT-V4-0003,ANOMALY_THEFT,P1,MTR_000102_HASH,SP_000102_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0101_HASH,COMMERCIAL,CLINIC,Peer Drift + Billing Cycle Drop + Low Power Factor + Tamper Event,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,2600.24,90.67812700354551,4,"CLINIC Rajajinagar COMMERCIAL meter, dropped 53% consumption, 67-pt peer rank drop, 2 tamper events"
ALT-V4-0004,ANOMALY_THEFT,P1,MTR_000250_HASH,SP_000250_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0095_HASH,RESIDENTIAL,3BHK_FAMILY,Peer Drift + Billing Cycle Drop + Tamper Event,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,1702.32,87.6594628384268,3,"3BHK_FAMILY Whitefield RESIDENTIAL meter, dropped 60% consumption, 75-pt peer rank drop, 3 tamper events"
ALT-V4-0005,ANOMALY_THEFT,P1,MTR_000339_HASH,SP_000339_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0110_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Reading Plateau + Peer Drift + Billing Cycle Drop + Low Power Factor + Tamper Event,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,742.24,99.76213847859071,5,"KIRANA_RETAIL_SHOP Whitefield COMMERCIAL meter, dropped 62% consumption, 33-pt peer rank drop, 2 tamper events"
ALT-V4-0006,ANOMALY_THEFT,P1,MTR_000030_HASH,SP_000030_HASH,Domlur,East Circle,FDR_014_HASH,DT_0014_HASH,COMMERCIAL,SMALL_OFFICE,Peer Drift + Billing Cycle Drop + Low Power Factor,84.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,3394.16,75.95136813339128,3,"SMALL_OFFICE Domlur COMMERCIAL meter, dropped 71% consumption, 50-pt peer rank drop"
ALT-V4-0007,ANOMALY_THEFT,P1,MTR_000273_HASH,SP_000273_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0049_HASH,COMMERCIAL,CLINIC,Sudden Drop + Billing Cycle Drop + Low Power Factor,82.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,2644.0,73.96369066041262,3,"CLINIC Koramangala COMMERCIAL meter, dropped 71% consumption, 25-pt peer rank drop"
ALT-V4-0008,ANOMALY_THEFT,P1,MTR_000123_HASH,SP_000123_HASH,Domlur,East Circle,FDR_014_HASH,DT_0089_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Peer Drift + Billing Cycle Drop + Low Power Factor,81.2,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,1754.08,73.20243681081065,3,"KIRANA_RETAIL_SHOP Domlur COMMERCIAL meter, dropped 53% consumption, 86-pt peer rank drop"
ALT-V4-0009,ANOMALY_THEFT,P1,MTR_000124_HASH,SP_000124_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0028_HASH,COMMERCIAL,SMALL_OFFICE,Peer Drift + Billing Cycle Drop + Low Power Factor,79.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,2711.76,71.50818365246126,3,"SMALL_OFFICE Indiranagar COMMERCIAL meter, dropped 60% consumption, 67-pt peer rank drop"
ALT-V4-0010,ANOMALY_THEFT,P1,MTR_000132_HASH,SP_000132_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0008_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,Peer Drift + Billing Cycle Drop,76.8,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,972.06,68.80907055001015,2,"2BHK_SMALL_FAMILY Hebbal RESIDENTIAL meter, dropped 71% consumption, 57-pt peer rank drop"
