case_truth_id,meter_id_hash,primary_label,all_labels,is_suspicious_truth,root_cause_truth,recommended_team_truth,label_source,notes
TRUTH_000001,MTR_000001_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000002,MTR_000002_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000003,MTR_000003_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000004,MTR_000004_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000005,MTR_000005_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000006,MTR_000006_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000007,MTR_000007_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000008,MTR_000008_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000009,MTR_000009_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000010,MTR_000010_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000011,MTR_000011_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000012,MTR_000012_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000013,MTR_000013_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000014,MTR_000014_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000015,MTR_000015_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000016,MTR_000016_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000017,MTR_000017_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000018,MTR_000018_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000019,MTR_000019_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000020,MTR_000020_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000021,MTR_000021_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000022,MTR_000022_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000023,MTR_000023_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000024,MTR_000024_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000025,MTR_000025_HASH,inactive_disconnected_suppressed_non_theft,inactive_disconnected_suppressed_non_theft,0,non_active_service_status,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000026,MTR_000026_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000027,MTR_000027_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000028,MTR_000028_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000029,MTR_000029_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
