case_id,meter_id_hash,locality,zone,consumer_category,premise_subtype,expected_vs_actual_summary,peer_comparison,communication_check,event_log_summary,outage_check,triggered_signals,signal_count,confidence_pct,risk_tier,recommended_team,recommended_action,alert_fingerprint,one_line_reason,estimated_monthly_loss_inr_low,estimated_monthly_loss_inr_high,audit_note
ALT-V4-0001,MTR_000027_HASH,Domlur,East Circle,COMMERCIAL,BAKERY,"First 30 days: 422.9 kWh, Last 30 days: 161.9 kWh, Drop: 61.7%",Peer rank dropped from 70 percentile to 10 percentile (60 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality","Peer Drift, Billing Cycle Drop, After Hours Commercial, Pf Register",4,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + After-Hours Commercial + Low Power Factor,"BAKERY Domlur COMMERCIAL meter, dropped 62% consumption, 60-pt peer rank drop",1461.77,2714.71,Evidence generated by Aletheon v4.0. Read-only record. SHA256: db839530ef00b412. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0002,MTR_000063_HASH,KR Puram,East Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 819.2 kWh, Last 30 days: 236.8 kWh, Drop: 71.1%",Peer rank dropped from 71 percentile to 14 percentile (57 point drop),"Communication: 100.0% uptime, 0 missed readings",2 events: COVER_OPEN,"Outage overlap: yes, 1 events in locality","Peer Drift, Billing Cycle Drop, Pf Register, Tamper Event",4,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + Low Power Factor + Tamper Event,"RESTAURANT_CAFE KR Puram COMMERCIAL meter, dropped 71% consumption, 57-pt peer rank drop, 2 tamper events",3261.44,6056.96,Evidence generated by Aletheon v4.0. Read-only record. SHA256: f0f19cd424bf0484. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0003,MTR_000102_HASH,Rajajinagar,West Circle,COMMERCIAL,CLINIC,"First 30 days: 617.0 kWh, Last 30 days: 292.0 kWh, Drop: 52.7%",Peer rank dropped from 100 percentile to 33 percentile (67 point drop),"Communication: 100.0% uptime, 0 missed readings",2 events: TAMPER,"Outage overlap: yes, 3 events in locality","Peer Drift, Billing Cycle Drop, Pf Register, Tamper Event",4,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + Low Power Factor + Tamper Event,"CLINIC Rajajinagar COMMERCIAL meter, dropped 53% consumption, 67-pt peer rank drop, 2 tamper events",1820.17,3380.31,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 880a88068ce16e2f. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0004,MTR_000250_HASH,Whitefield,East Circle,RESIDENTIAL,3BHK_FAMILY,"First 30 days: 473.7 kWh, Last 30 days: 190.0 kWh, Drop: 59.9%",Peer rank dropped from 100 percentile to 25 percentile (75 point drop),"Communication: 100.0% uptime, 0 missed readings",3 events: MAGNETIC_INFLUENCE,"Outage overlap: yes, 2 events in locality","Peer Drift, Billing Cycle Drop, Tamper Event",3,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + Tamper Event,"3BHK_FAMILY Whitefield RESIDENTIAL meter, dropped 60% consumption, 75-pt peer rank drop, 3 tamper events",1191.62,2213.02,Evidence generated by Aletheon v4.0. Read-only record. SHA256: c780fc11ec9af8e9. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0005,MTR_000339_HASH,Whitefield,East Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 150.4 kWh, Last 30 days: 57.6 kWh, Drop: 61.7%",Peer rank dropped from 67 percentile to 33 percentile (33 point drop),"Communication: 100.0% uptime, 0 missed readings",2 events: TAMPER,"Outage overlap: yes, 2 events in locality","Reading Plateau, Peer Drift, Billing Cycle Drop, Pf Register, Tamper Event",5,99.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Reading Plateau + Peer Drift + Billing Cycle Drop + Low Power Factor + Tamper Event,"KIRANA_RETAIL_SHOP Whitefield COMMERCIAL meter, dropped 62% consumption, 33-pt peer rank drop, 2 tamper events",519.57,964.91,Evidence generated by Aletheon v4.0. Read-only record. SHA256: a3478de33a28453f. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0006,MTR_000030_HASH,Domlur,East Circle,COMMERCIAL,SMALL_OFFICE,"First 30 days: 596.5 kWh, Last 30 days: 172.3 kWh, Drop: 71.1%",Peer rank dropped from 83 percentile to 33 percentile (50 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality","Peer Drift, Billing Cycle Drop, Pf Register",3,84.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + Low Power Factor,"SMALL_OFFICE Domlur COMMERCIAL meter, dropped 71% consumption, 50-pt peer rank drop",2375.91,4412.41,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 928a527b071fc7c4. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0007,MTR_000273_HASH,Koramangala,South Circle,COMMERCIAL,CLINIC,"First 30 days: 464.4 kWh, Last 30 days: 133.9 kWh, Drop: 71.2%",Peer rank dropped from 33 percentile to 8 percentile (25 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,"Sudden Drop, Billing Cycle Drop, Pf Register",3,82.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Sudden Drop + Billing Cycle Drop + Low Power Factor,"CLINIC Koramangala COMMERCIAL meter, dropped 71% consumption, 25-pt peer rank drop",1850.8,3437.2,Evidence generated by Aletheon v4.0. Read-only record. SHA256: ce31121f651e1ef1. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0008,MTR_000123_HASH,Domlur,East Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 416.2 kWh, Last 30 days: 196.9 kWh, Drop: 52.7%",Peer rank dropped from 100 percentile to 14 percentile (86 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality","Peer Drift, Billing Cycle Drop, Pf Register",3,81.2,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + Low Power Factor,"KIRANA_RETAIL_SHOP Domlur COMMERCIAL meter, dropped 53% consumption, 86-pt peer rank drop",1227.86,2280.3,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 61e9c87880da9ca1. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0009,MTR_000124_HASH,Indiranagar,East Circle,COMMERCIAL,SMALL_OFFICE,"First 30 days: 569.6 kWh, Last 30 days: 230.7 kWh, Drop: 59.5%",Peer rank dropped from 100 percentile to 33 percentile (67 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","Peer Drift, Billing Cycle Drop, Pf Register",3,79.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop + Low Power Factor,"SMALL_OFFICE Indiranagar COMMERCIAL meter, dropped 60% consumption, 67-pt peer rank drop",1898.23,3525.29,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 325219b090f91e07. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0010,MTR_000132_HASH,Hebbal,North Circle,RESIDENTIAL,2BHK_SMALL_FAMILY,"First 30 days: 229.2 kWh, Last 30 days: 67.2 kWh, Drop: 70.7%",Peer rank dropped from 100 percentile to 43 percentile (57 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","Peer Drift, Billing Cycle Drop",2,76.8,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Billing Cycle Drop,"2BHK_SMALL_FAMILY Hebbal RESIDENTIAL meter, dropped 71% consumption, 57-pt peer rank drop",680.44,1263.68,Evidence generated by Aletheon v4.0. Read-only record. SHA256: c0e93af19c0bc2b4. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0011,MTR_000060_HASH,Rajajinagar,West Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 260.1 kWh, Last 30 days: 105.5 kWh, Drop: 59.5%",Peer rank dropped from 12 percentile to 12 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",3 events: COVER_OPEN,"Outage overlap: yes, 3 events in locality","Billing Cycle Drop, Pf Register, Tamper Event",3,70.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Billing Cycle Drop + Low Power Factor + Tamper Event,"KIRANA_RETAIL_SHOP Rajajinagar COMMERCIAL meter, dropped 59% consumption, 3 tamper events",865.98,1608.26,Evidence generated by Aletheon v4.0. Read-only record. SHA256: ba9f76f031340c81. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0012,MTR_000014_HASH,Koramangala,South Circle,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,"First 30 days: 162.9 kWh, Last 30 days: 76.8 kWh, Drop: 52.9%",Peer rank dropped from 25 percentile to 8 percentile (17 point drop),"Communication: 100.0% uptime, 0 missed readings","3 events: COMMUNICATION_LOSS, FIELD_CONFIRMED_IRREGULARITY",Outage overlap: no,"Sudden Drop, Billing Cycle Drop",2,66.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Sudden Drop + Billing Cycle Drop,"1BHK_SINGLE_OR_COUPLE Koramangala RESIDENTIAL meter, dropped 53% consumption, 17-pt peer rank drop, 1 tamper events",361.62,671.58,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 734fb44cd5e0273a. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0013,MTR_000080_HASH,Jayanagar,South Circle,COMMERCIAL,SMALL_OFFICE,"First 30 days: 642.0 kWh, Last 30 days: 377.9 kWh, Drop: 41.1%",Peer rank dropped from 100 percentile to 67 percentile (33 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","Peer Drift, Pf Register",2,56.7,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift + Low Power Factor,"SMALL_OFFICE Jayanagar COMMERCIAL meter, dropped 41% consumption, 33-pt peer rank drop",1479.18,2747.06,Evidence generated by Aletheon v4.0. Read-only record. SHA256: dcda68244e5b62c0. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0014,MTR_000237_HASH,Koramangala,South Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 941.0 kWh, Last 30 days: 1020.8 kWh, Drop: -8.5%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 99.4% uptime, 72 missed readings",2 events: COMMUNICATION_LOSS,Outage overlap: no,"Comm Failure, Reading Plateau, After Hours Commercial, Pf Register",4,54.8,MULTI_SIGNAL_CONFIRMED,IT/AMI,Verify communication module and data pipeline,Communication Failure + Reading Plateau + After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE Koramangala COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: c1cce53848b5f8c0. Section 65B Indian Evidence Act compliance maintained.
