matrix_row,meter_id_hash,service_point_id_hash,feeder_id_hash,dt_id_hash,locality,consumer_category,premise_subtype
0,MTR_000001_HASH,SP_000001_HASH,FDR_012_HASH,DT_0012_HASH,KR Puram,RESIDENTIAL,3BHK_FAMILY
1,MTR_000002_HASH,SP_000002_HASH,FDR_008_HASH,DT_0023_HASH,Hebbal,RESIDENTIAL,2BHK_SMALL_FAMILY
2,MTR_000003_HASH,SP_000003_HASH,FDR_007_HASH,DT_0037_HASH,Electronic City,RESIDENTIAL,2BHK_SMALL_FAMILY
3,MTR_000004_HASH,SP_000004_HASH,FDR_014_HASH,DT_0119_HASH,Domlur,RESIDENTIAL,3BHK_FAMILY
4,MTR_000005_HASH,SP_000005_HASH,FDR_013_HASH,DT_0073_HASH,Indiranagar,RESIDENTIAL,2BHK_SMALL_FAMILY
5,MTR_000006_HASH,SP_000006_HASH,FDR_010_HASH,DT_0070_HASH,Banashankari,COMMERCIAL,SMALL_OFFICE
6,MTR_000007_HASH,SP_000007_HASH,FDR_012_HASH,DT_0042_HASH,KR Puram,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
7,MTR_000008_HASH,SP_000008_HASH,FDR_009_HASH,DT_0069_HASH,Yelahanka,SMALL_INDUSTRY,WELDING_WORKSHOP
8,MTR_000009_HASH,SP_000009_HASH,FDR_007_HASH,DT_0067_HASH,Electronic City,COMMERCIAL,CLINIC
9,MTR_000010_HASH,SP_000010_HASH,FDR_012_HASH,DT_0027_HASH,KR Puram,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
10,MTR_000011_HASH,SP_000011_HASH,FDR_006_HASH,DT_0036_HASH,Peenya,COMMERCIAL,CLINIC
11,MTR_000012_HASH,SP_000012_HASH,FDR_007_HASH,DT_0067_HASH,Electronic City,RESIDENTIAL,2BHK_SMALL_FAMILY
12,MTR_000013_HASH,SP_000013_HASH,FDR_011_HASH,DT_0101_HASH,Rajajinagar,SMALL_INDUSTRY,MACHINE_SHOP
13,MTR_000014_HASH,SP_000014_HASH,FDR_004_HASH,DT_0079_HASH,Koramangala,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
14,MTR_000015_HASH,SP_000015_HASH,FDR_008_HASH,DT_0008_HASH,Hebbal,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
15,MTR_000016_HASH,SP_000016_HASH,FDR_006_HASH,DT_0021_HASH,Peenya,SMALL_INDUSTRY,GARMENT_UNIT
16,MTR_000017_HASH,SP_000017_HASH,FDR_012_HASH,DT_0072_HASH,KR Puram,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
17,MTR_000018_HASH,SP_000018_HASH,FDR_004_HASH,DT_0079_HASH,Koramangala,COMMERCIAL,SALON
18,MTR_000019_HASH,SP_000019_HASH,FDR_002_HASH,DT_0032_HASH,Domlur,PUBLIC_LIGHTING,STREET_LIGHTING_FEED
19,MTR_000020_HASH,SP_000020_HASH,FDR_002_HASH,DT_0047_HASH,Domlur,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
20,MTR_000021_HASH,SP_000021_HASH,FDR_005_HASH,DT_0050_HASH,Whitefield,RESIDENTIAL,PG_OR_HOSTEL
21,MTR_000022_HASH,SP_000022_HASH,FDR_015_HASH,DT_0105_HASH,Jayanagar,COMMERCIAL,RESTAURANT_CAFE
22,MTR_000023_HASH,SP_000023_HASH,FDR_002_HASH,DT_0002_HASH,Domlur,RESIDENTIAL,PG_OR_HOSTEL
23,MTR_000024_HASH,SP_000024_HASH,FDR_015_HASH,DT_0075_HASH,Jayanagar,RESIDENTIAL,2BHK_SMALL_FAMILY
24,MTR_000025_HASH,SP_000025_HASH,FDR_003_HASH,DT_0048_HASH,Jayanagar,RESIDENTIAL,3BHK_FAMILY
25,MTR_000026_HASH,SP_000026_HASH,FDR_010_HASH,DT_0100_HASH,Banashankari,RESIDENTIAL,3BHK_FAMILY
26,MTR_000027_HASH,SP_000027_HASH,FDR_002_HASH,DT_0017_HASH,Domlur,COMMERCIAL,BAKERY
27,MTR_000028_HASH,SP_000028_HASH,FDR_008_HASH,DT_0068_HASH,Hebbal,RESIDENTIAL,2BHK_SMALL_FAMILY
28,MTR_000029_HASH,SP_000029_HASH,FDR_004_HASH,DT_0109_HASH,Koramangala,COMMERCIAL,SUPERMARKET_MINI_MART
29,MTR_000030_HASH,SP_000030_HASH,FDR_014_HASH,DT_0014_HASH,Domlur,COMMERCIAL,SMALL_OFFICE
30,MTR_000031_HASH,SP_000031_HASH,FDR_011_HASH,DT_0116_HASH,Rajajinagar,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
31,MTR_000032_HASH,SP_000032_HASH,FDR_011_HASH,DT_0116_HASH,Rajajinagar,SMALL_INDUSTRY,GARMENT_UNIT
32,MTR_000033_HASH,SP_000033_HASH,FDR_009_HASH,DT_0054_HASH,Yelahanka,RESIDENTIAL,2BHK_SMALL_FAMILY
33,MTR_000034_HASH,SP_000034_HASH,FDR_013_HASH,DT_0088_HASH,Indiranagar,RESIDENTIAL,3BHK_FAMILY
34,MTR_000035_HASH,SP_000035_HASH,FDR_011_HASH,DT_0116_HASH,Rajajinagar,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
35,MTR_000036_HASH,SP_000036_HASH,FDR_003_HASH,DT_0063_HASH,Jayanagar,PUBLIC_LIGHTING,STREET_LIGHTING_FEED
36,MTR_000037_HASH,SP_000037_HASH,FDR_014_HASH,DT_0014_HASH,Domlur,COMMERCIAL,SALON
37,MTR_000038_HASH,SP_000038_HASH,FDR_012_HASH,DT_0057_HASH,KR Puram,RESIDENTIAL,3BHK_FAMILY
38,MTR_000039_HASH,SP_000039_HASH,FDR_012_HASH,DT_0027_HASH,KR Puram,COMMERCIAL,SMALL_OFFICE
39,MTR_000040_HASH,SP_000040_HASH,FDR_011_HASH,DT_0041_HASH,Rajajinagar,COMMERCIAL,RESTAURANT_CAFE
40,MTR_000041_HASH,SP_000041_HASH,FDR_009_HASH,DT_0114_HASH,Yelahanka,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
41,MTR_000042_HASH,SP_000042_HASH,FDR_013_HASH,DT_0028_HASH,Indiranagar,RESIDENTIAL,2BHK_SMALL_FAMILY
42,MTR_000043_HASH,SP_000043_HASH,FDR_005_HASH,DT_0065_HASH,Whitefield,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
43,MTR_000044_HASH,SP_000044_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
44,MTR_000045_HASH,SP_000045_HASH,FDR_008_HASH,DT_0038_HASH,Hebbal,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
45,MTR_000046_HASH,SP_000046_HASH,FDR_012_HASH,DT_0042_HASH,KR Puram,RESIDENTIAL,2BHK_SMALL_FAMILY
46,MTR_000047_HASH,SP_000047_HASH,FDR_009_HASH,DT_0069_HASH,Yelahanka,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
47,MTR_000048_HASH,SP_000048_HASH,FDR_015_HASH,DT_0120_HASH,Jayanagar,RESIDENTIAL,3BHK_FAMILY
48,MTR_000049_HASH,SP_000049_HASH,FDR_005_HASH,DT_0095_HASH,Whitefield,RESIDENTIAL,2BHK_SMALL_FAMILY
49,MTR_000050_HASH,SP_000050_HASH,FDR_010_HASH,DT_0010_HASH,Banashankari,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
50,MTR_000051_HASH,SP_000051_HASH,FDR_014_HASH,DT_0059_HASH,Domlur,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
51,MTR_000052_HASH,SP_000052_HASH,FDR_004_HASH,DT_0079_HASH,Koramangala,RESIDENTIAL,2BHK_SMALL_FAMILY
52,MTR_000053_HASH,SP_000053_HASH,FDR_013_HASH,DT_0013_HASH,Indiranagar,COMMERCIAL,SUPERMARKET_MINI_MART
53,MTR_000054_HASH,SP_000054_HASH,FDR_005_HASH,DT_0095_HASH,Whitefield,COMMERCIAL,SMALL_OFFICE
54,MTR_000055_HASH,SP_000055_HASH,FDR_010_HASH,DT_0115_HASH,Banashankari,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
55,MTR_000056_HASH,SP_000056_HASH,FDR_012_HASH,DT_0102_HASH,KR Puram,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
